file_name,chunk_index,chunk_id,question_index,question,answer
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,19,19,1,Comment le texte sur la Corse se présente-t-il selon l'auteur?,"Le texte cherche à mettre le lieu dans sa perspective historique tout en cherchant à donner du sens à un présent corse souvent problématique, sans se prendre pour autant trop au sérieux. Il ne prétend jamais être sérieux."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,20,20,0,Pourquoi le texte ne prétend-il jamais à la vérité ?,Le texte ne prétend jamais à la vérité car il assume une part de subjectivité qui implique une perspective personnelle et non universelle.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,20,20,1,Combien de choix pouvaient-il y avoir pour les sujets du livre ?,"Le texte indique qu'il aurait pu y avoir des dizaines d'autres choix pour les sujets du livre, tout aussi pertinents."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,21,21,0,Qu'est-ce que le locu mondu selon le texte?,"Le locu mondu est une notion très poétique qui n'a pas été possible de trouver un meilleur terme pour exprimer l'esprit de ces textes qui oscillent entre le regard, la fascination et la pensée."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,21,21,1,Pourquoi les sites ont-ils une mémoire dans le texte?,"Les sites ont une mémoire dans le texte car ils ont tous une histoire et des occupants qui les habitent, ce qui suffit à l'éveiller."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,22,22,0,Quel est le nom de la découverte humaine la plus ancienne sur l'île de Corsica ?,Elle est nommée Araguina.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,22,22,1,Pourquoi la découverte humaine la plus ancienne sur l'île de Corsica a-t-elle pu être conservée bien?,"Cela est dû au fait que l'emplacement de la découverte se trouve dans du calcaire, qui a des qualités de conservation plus élevées dans une Corsica granitique ou mafique au nord."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,23,23,0,Quel est le lieu de départ de l'homme présenté dans le texte ?,"Le lieu de départ de l'homme présenté dans le texte est un îlot, mais le texte ne précise pas le nom de l'îlot."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,23,23,1,Quels sont les noms des deux archéologues qui ont avancé l'hypothèse d'une présence humaine sur la région ?,Les noms des deux archéologues qui ont avancé l'hypothèse d'une présence humaine sur la région sont François De Lanfranchi et Michel-Claude Weiss.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,24,24,0,Dans quel lieu se déroule la recherche mentionnée dans le texte ?,Le lieu de la recherche n'est pas clairement précisé dans le texte.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,24,24,1,Combien de personnes est-ce que Livia ou Bustanicu ont travaillé avec pour la recherche de l'approvisionnement littéral ou des nodi de communications internes ?,Le texte ne fournit pas de détail sur le nombre de personnes avec lesquelles Livia et Bustanicu ont travaillé.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,25,25,0,Quel est le nom de la grotte où une femme a été trouvée accroupie depuis le Moyen Âge ?,La grotte de l'Araguina
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,25,25,1,Quel est le nom de l'automotrice qui sort de Bonifacio dans le texte ?,L'automotrice n'est pas mentionnée par nom dans le texte
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,26,26,0,"Dans le texte, où a été découverte la Dame de Bonifacio ?",La Dame de Bonifacio a été découverte dans une grotte de l'Araguina.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,26,26,1,Le site archéologique de l'Araguina est-il connu par l'automobiliste sortant de Bonifacio ?,"Dans le texte, il n'est pas indiqué si l'automobiliste sortant de Bonifacio connaît le site archéologique de l'Araguina."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,27,27,0,Dans quel bâtiment se trouve le laboratoire de recherche en sciences humaines à Corte?,Le laboratoire de recherche en sciences humaines à Corte se trouve dans le hall du bâtiment Simeoni.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,27,27,1,"Le fait de trouver le plus ancien Homo sapiens de la Corse à l'extrême sud est-il le fait du hasard? Si non, quelle raison explique-t-il?","Non, le fait de trouver le plus ancien Homo sapiens de la Corse à l'extrême sud n'est pas le fait du hasard. En effet, d'un point de vue géologique, le caractère conservateur de la roche calcaire de Bonifacio aurait joué."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,28,28,0,"Quel est le lieu situé quelques lieues de Sardaigne, mentionné dans le texte?",Le lieu mentionné dans le texte est l'Araguina.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,28,28,1,Quels objets archéologiques ont été découverts à l'abri-sous-roche de l'Araguine?,Des objets archéologiques tels que l'obsidienne ont été découverts à l'abri-sous-roche de l'Araguine.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,29,29,0,Quel est le sens figuré du terme « Dame de l'Araguina » dans le texte ?,"Le terme « Dame de l'Araguina » est utilisé dans le texte pour désigner un corps humain qui a été inhumé dans la grotte de l'Araguina, en raison de la teinte ocre jaune qui marque le site de son sépulture, signe d'un rite mortuaire précis."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,29,29,1,Pourquoi les archéologues s'étonnent de la présence d'objets appartenant à des couches aisées dans la grotte de l'Araguina ?,"Les archéologues s'étonnent de la présence d'objets appartenant à des couches aisées dans la grotte de l'Araguina car les statuts de la ville de Bonifacio au XIIIe siècle ne permettaient l'accès qu'aux seuls Génois, ce qui laisse supposer que les Corses auraient été exclus de la cité, et donc de la grotte, sauf pour y commercer."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,30,30,0,Quel est le nom de la ville mentionnée dans le texte ?,La ville mentionnée dans le texte est Bastia.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,30,30,1,Quel est le nom des deux mers que l'on peut voir de Bastia ?,"Dans le texte, il est dit que l'on peut voir les deux mers du Tyrrhenien et de la Méditerranée de Bastia."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,31,31,0,Qui est le personnage qui a pris le haut de la société dans le pays de Fûidatu è Fûirnonda ?,Sebastianu Dalzetu
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,31,31,1,"Quel est le lieu où les mules, les ânes, les carrioles et les ghjacciu se sont rafraichis dans le texte ?","En « e nivere », sti casaroni cù una speci di puzzu irnpiutu à nevi"
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,32,32,0,Quel est le lieu qui permet aux Bastiais de se déplacer de l'est vers l'ouest ?,Le lieu qui permet aux Bastiais de se déplacer de l'est vers l'ouest est Teghime.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,32,32,1,Quel est l'étrange particularité de Teghime selon les gens ?,"Les gens disent qu'arrivé à Teghime, on peut contempler « les deux mers », ce qui fait de ce lieu une bizarrerie."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,33,33,0,Quelle est la signification de Teghime dans le texte ?,"Teghime est une limite haute, un col qui constitue la limite d'un territoire et marque la frontière entre la plaine, la ville et la montagne."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,33,33,1,Quelle est la fonction des bergers de Teghime dans le texte ?,"Les bergers de Teghime dépaysent dès qu'ils franchissent ce col et vendent leurs produits dans le marché de Bastia, mettant ainsi en synergie la plaine, la ville et la montagne."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,34,34,0,Quel est le nom de la personne familière de ces lieux ?,Son nom est Teghime.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,34,34,1,Qu'était le rôle des nivere dans la ville ?,"Les nivere étaient des lieux de stockage de la neige, transformée en glace, qui était ramenée à la ville pour rafraîchir les familles les plus aisées."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,35,35,0,Quel est le lien entre Teghime et l'histoire de l'année 1943 ?,"Teghime est lié à l'histoire de 1943 parce qu'il a été investi par plus de deux mille Italiens errants pris dans la guerre finissante et une paix non encore aboutie, et aussi parce qu'il est le lieu où les goumiers marocains ont franchi plus tard ce même année, en octobre 1943."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,35,35,1,Quels événements historiques sont évoqués dans le texte concernant Teghime ?,"Le texte évoque la présence de plus de deux mille Italiens errants pris dans la guerre finissante et une paix non encore aboutie à Teghime en 1943, ainsi que l'arrivée plus tard ce même année des goumiers marocains."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,36,36,0,Quel événement majeur se produisit à Teghime en octobre 1943 selon le texte?,Les goumiers marocains vainquirent au col à Teghime et la Corse fut libérée à Bastia le 4 octobre 1943.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,36,36,1,Quel est le lien actuel de Teghime avec les Bastiais d'aujourd'hui?,"Aujourd'hui, Teghime est la promenade favorite des Bastiais qui vont, en guise de glacière, se manger une glace à Saint-Florent."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,37,37,0,Quel est le nom du site préhistorique mentionné dans le texte ?,Le site préhistorique mentionné dans le texte s'appelle le Castellu.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,37,37,1,Quel rôle est attribué à Circinellu dans le texte ?,"Circinellu est un personnage historique, un patriote génoanais, qui est mentionné pour avoir prononcé les dernières paroles « ceppu in manu et croce in pettu »."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,38,38,0,Quel personnage est-il question dans le texte ?,"Domenico Leca, dit Circinella"
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,38,38,1,Quel est l'événement historique qui est évoqué dans le texte ?,La Résistance corse contre les Français après la bataille de Ponte Novu
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,39,39,0,Quel est le nom du fleuve mentionné dans le texte ?,Le fleuve est appelé Fium'Orbu.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,39,39,1,Pourquoi le fleuve Fium'Orbu est-il associé à Pasquale Paoli dans le texte ?,Le texte indique que le fleuve Fium'Orbu était fidèle à Pasquale Paoli dans les années 1770.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,40,40,0,"Quel est l'auteur de la pièce épicée « Nemoris », qui a été retrouvée en 2008 et traduite par François Micheli Durazzo?",L'auteur de la pièce épicée « Nemoris » est Giuseppe Octaviano Nobili-Savelli.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,40,40,1,"Qu'est-ce qui peut être trouvé juste au-dessus d'Ania, sur la commune de Serra di Fium'Orbu?","On peut trouver à prix d'une courte marche un emplacement préhistorique, appelé Castellu, avec des grottes, couloirs souterrains, des refuges, des abris et des caches potentiellement très sûres. L'endroit est d'autant plus sûr qu'il offre une magnifique vue périphérique et lointaine sur une bonne partie de la plaine."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,41,41,0,Quel est le nom de la grotte mentionnée dans le texte?,"La grotte mentionnée dans le texte peut être appelée soit la grotte des Sarrasins, soit la grotte de Circinellu."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,41,41,1,Quel événement historique est associé à la grotte de Circinellu?,"La grotte de Circinellu est connue pour être le lieu où le curé patriote de Guagnu, Dominique Leca, dit Circinellu, a été retrouvé mort avec une arme à la main et un crucifix sur la poitrine."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,42,42,0,Qui a été retrouvé mort dans la grotte d'Orbu ?,Le célèbre curé de Guagno
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,42,42,1,Pourquoi Circinellu est-il notable dans la mémoire des Corses ?,"Cela est imputable à la tradition orale, à l'histoire politique et aux conditions spectaculaires de la loyauté de Dumenicu Leca"
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,43,43,0,Quel est le titre de l'œuvre latine écrit par Giuseppe Octaviano Nobili-Savelli que l'on retrouve dans le texte ?,Le titre de l'œuvre latine est le Vir nemoris.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,43,43,1,Quel est le rôle de François Michel Durazzo dans le Vir nemoris ?,François Michel Durazzo a restauré le Vir nemoris en 2008 par une traduction critique.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,44,44,0,Quel est le lieu désigné par Acqua Nera dans le texte?,Acqua Nera est un lieu marin situé à 7 kilomètres de Cervioni.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,44,44,1,Qu'est-ce qui est dit à propos du train de Bastia dans le texte?,"Le train de Bastia a été construit pour les nobles, il transporte les chariots, fait souffrir les autres voyageurs qui y voyagent."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,45,45,0,Qui est le personnage qui a découvert le passage des chariots ?,Le personnage qui a découvert le passage des chariots est Xavier Tomasi.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,45,45,1,Quels sont les trains qui ne sont plus en service dans le texte ?,Les trains qui ne sont plus en service dans le texte sont ceux de Bastia et d'Bonifaziu.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,46,46,0,Quel est le nom de l'établissement mentionné dans le texte ?,L'établissement mentionné dans le texte est l'osteria d'Acqua Nera.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,46,46,1,Quel est le sens de l'expression « 0 lu trenu di Bastia » ?,"L'expression « 0 lu trenu di Bastia » semble être une allusion à une chanson ou une expression populaire de Bastia, qui pourrait signifier quelque chose comme « le train de Bastia », mais cela n'est pas clairement précisé dans le texte."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,47,47,0,Quel est le nom du chant traditionnel composé par Maria Felice Marchetti en 1888 qui se réfère à Acqua Nera ?,Le chant traditionnel composé par Maria Felice Marchetti en 1888 se nomme « 0 lu trenu di Bastia ».
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,47,47,1,Où se trouve Acqua Nera selon le texte ?,"Selon le texte, Acqua Nera se trouve à deux pas de Prunete et à sept kilomètres de Cervioni."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,48,48,0,Quel est le nom du jeune homme qui a découvert le chant fustigeant le train entre Bastia et Bonifacio?,Xavier Tomasi
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,48,48,1,Qu'est-ce qui a remplacé la voie ferrée en plaine orientale entre Bastia et Bonifacio?,"Il n'y a plus de voie ferrée en plaine orientale. En 1960, Tintin Pasqualini a parodié le lamentu pour dire le contraire avec un imbarcadère."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,49,49,0,Qu'est-ce qui fait que le lamentu continue selon le texte ?,"Le lamentu continue selon le texte parce que les Corses ne disposent toujours pas d'un train de Bastia, comme on peut lire dans la phrase : « Et l'auberge de l'Acqua Nera s'est refait une clientèle grâce au tourisme à partir des années 1970. Et l'axe routier Bastia-Solenzara est devenu le plus accidentogène et meurtrier. Alors le lamentu continue! »"
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,49,49,1,Comment est décrite la situation de la Corse dans les années 1960 selon le texte ?,"Dans les années 1960, la Corse est décrite comme désertée et démontée, comme on peut lire dans la phrase : « Pauvre Corse des années 1960, non seulement désertée mais démontée. »"
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,50,50,0,Quels deux lieux sont mentionnés dans le texte ?,Roccapina et Cagna
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,50,50,1,Quel animal est considéré comme un des célèbres animaux du paysage de Roccapina ?,Il n'est pas clairement indiqué qu'un animal en particulier est considéré comme célèbre dans le texte. Il est seulement mentionné que deux lieux sont célèbres.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,51,51,0,Quel âge approximately date l'Omu di Cagna et le Lion de Cagna?,L'Omu di Cagna et le Lion de Cagna ont été créés environ 350 millions d'années à l'époque ercinienne.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,51,51,1,Quelle est l'âge des sediments calcaires dans les plaines de Bonifaziu et de San Fiuren en comparaison des autres éléments du texte?,"Les sediments calcaires dans les plaines de Bonifaziu et de San Fiuren datent d'environ 20 millions d'années, ce qui les place dans le troisième tiers de l'ère géologique du Miocène."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,52,52,0,Quel est l'endroit où ont été trouvés les plus anciens vestiges humains mentionnés dans le texte ?,L'Omu di Cagna
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,52,52,1,Quelle est la période géologique durant laquelle les lochs (grands lacs) ont été formés comme décrit dans le texte ?,Il y a environ 300 millions d'années
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,53,53,0,Quels deux sites géologiques sont mentionnés dans le texte ?,Le Lion de Roccapina et l'Omu di Cagna
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,53,53,1,Le Lion de Roccapina et l'Omu di Cagna ont-ils le même âge ?,"Non, l'âge de l'Omu di Cagna est plus ancien que celui de l'Omu de Roccapina"
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,54,54,0,Quel animal est-il associé à Omu di Cagna selon le texte ?,Le lion
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,54,54,1,Quel est l'époque à laquelle Omu di Cagna et son lion ont été nés selon le texte ?,Il y a environ 350 millions d'années
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,55,55,0,Quel est l'âge approximatif de la partie granitique de l'Hercynien en Corse ?,Le texte indique que la partie granitique de l'Hercynien en Corse est la plus ancienne et date du début de la formation des roches.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,55,55,1,Quel est l'âge approximatif des plateaux calcaires de Bonifacio ou Saine-Florent ?,"Les plateaux calcaires de Bonifacio ou Saine-Florent se sont sédimentés durant le Miocène, il y a approximativement 20 millions d'années."
