type,model,execution_time,expected_score,question_text,score,question_id,human_answer,feedback,combination_size
combination,google:gemini-3.5-flash-lite,,9,Quels exemples concrets sont donnés dans le texte pour illustrer l'idée que la consommation culturelle remplace partiellement le rôle de la langue dans l'identité corse ?,0.0,2534,"La consommation culturelle, comme par exemple la gastronomie, la mode, les cosmétiques, et le Sporting, est un élément qui permet de revendiquer une appartenance à la Corse, même sans maîtriser sa langue.",,1
individual,google:gemini-3.5-flash-lite,0,7,"Pourquoi le football est-il considéré comme un vecteur puissant d'identification en Corse, selon le texte ?",0,2535,"Le football est l’un des plus puissants vecteurs d’identification culturel pour s’identifier à une ville ou une région, et encore plus pour les clubs locaux, comme celui du Sporting",Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,7,"Pourquoi le football est-il considéré comme un vecteur puissant d'identification en Corse, selon le texte ?",0.0,2535,"Le football est l’un des plus puissants vecteurs d’identification culturel pour s’identifier à une ville ou une région, et encore plus pour les clubs locaux, comme celui du Sporting",,1
individual,google:gemini-3.5-flash-lite,0,7,Question 417,0,417,"Teghime coupe symboliquement la méditérranée en deux mers, d'est en ouest. Il est un lieu symbolique de la question de l'écologie, avec la décharge publique de Bastia",Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,7,Question 417,0.0,417,"Teghime coupe symboliquement la méditérranée en deux mers, d'est en ouest. Il est un lieu symbolique de la question de l'écologie, avec la décharge publique de Bastia",,1
individual,google:gemini-3.5-flash-lite,0,8,Question 417,0,417,"Teghime permet d’avoir une vue imprenable sur les deux mers, la Méditerranée étant symboliquement coupée en deux, formant la mer Tyrrhénienne",Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,8,Question 417,0.0,417,"Teghime permet d’avoir une vue imprenable sur les deux mers, la Méditerranée étant symboliquement coupée en deux, formant la mer Tyrrhénienne",,1
individual,google:gemini-3.5-flash-lite,0,5,Comment se distingue la partition linguistique de la Corse par rapport à la partition géographique et historique (Cismonte et Pumonte) ?,0,471,Teghime coupe symboliquement la mer Méditérranée en deux,Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,5,Comment se distingue la partition linguistique de la Corse par rapport à la partition géographique et historique (Cismonte et Pumonte) ?,0.0,471,Teghime coupe symboliquement la mer Méditérranée en deux,,1
individual,google:gemini-3.5-flash-lite,0,4,Quel rôle historique a joué le couvent d'Alisgiani dans la Révolution corse ?,0,129,L’indépendance de la Corse,Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,4,Quel rôle historique a joué le couvent d'Alisgiani dans la Révolution corse ?,0.0,129,L’indépendance de la Corse,,1
individual,google:gemini-3.5-flash-lite,0,6,Quel rôle historique a joué le couvent d'Alisgiani dans la Révolution corse ?,0,129,C’est un symbole de liberté pendant la Révolution corse,Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,6,Quel rôle historique a joué le couvent d'Alisgiani dans la Révolution corse ?,0.0,129,C’est un symbole de liberté pendant la Révolution corse,,1
