type,execution_time,question_id,model,question_text,expected_score,combination_size,score,feedback,human_answer
combination,,2535,google:gemini-3.5-flash-lite,"Pourquoi le football est-il considéré comme un vecteur puissant d'identification en Corse, selon le texte ?",7,1,9.0,,"Le football est l’un des plus puissants vecteurs d’identification culturel pour s’identifier à une ville ou une région, et encore plus pour les clubs locaux, comme celui du Sporting"
individual,2.043,417,google:gemini-3.5-flash-lite,Question 417,7,,4,"Vous avez bien identifié le lien avec la Méditerranée et le col de Teghime, mais la mention de l'écologie et de la décharge ne correspond pas aux éléments attendus. Pourriez-vous rappeler ce que les Bastiais peuvent observer depuis ce col concernant les deux mers ?","Teghime coupe symboliquement la méditérranée en deux mers, d'est en ouest. Il est un lieu symbolique de la question de l'écologie, avec la décharge publique de Bastia"
combination,,417,google:gemini-3.5-flash-lite,Question 417,7,1,4.0,,"Teghime coupe symboliquement la méditérranée en deux mers, d'est en ouest. Il est un lieu symbolique de la question de l'écologie, avec la décharge publique de Bastia"
individual,1.294,417,google:gemini-3.5-flash-lite,Question 417,8,,9,C est une tres belle reponse. Vous avez parfaitement mentionne la vue sur les deux mers et la coupure symbolique de la Mediterranee.,"Teghime permet d’avoir une vue imprenable sur les deux mers, la Méditerranée étant symboliquement coupée en deux, formant la mer Tyrrhénienne"
combination,,417,google:gemini-3.5-flash-lite,Question 417,8,1,9.0,,"Teghime permet d’avoir une vue imprenable sur les deux mers, la Méditerranée étant symboliquement coupée en deux, formant la mer Tyrrhénienne"
individual,1.063,471,google:gemini-3.5-flash-lite,Comment se distingue la partition linguistique de la Corse par rapport à la partition géographique et historique (Cismonte et Pumonte) ?,5,,1,"Votre réponse concerne le col de Teghime et la Méditerranée, ce qui ne répond pas à la question posée sur la partition linguistique et géographique de la Corse. Pourriez-vous expliquer comment la répartition des régiolectes diffère de la division historique entre le Cismonte et le Pumonte ?",Teghime coupe symboliquement la mer Méditérranée en deux
combination,,471,google:gemini-3.5-flash-lite,Comment se distingue la partition linguistique de la Corse par rapport à la partition géographique et historique (Cismonte et Pumonte) ?,5,1,1.0,,Teghime coupe symboliquement la mer Méditérranée en deux
individual,1.106,129,google:gemini-3.5-flash-lite,Quel rôle historique a joué le couvent d'Alisgiani dans la Révolution corse ?,4,,3,"Votre réponse mentionne bien l'indépendance de la Corse, mais elle reste très laconique. Pourriez-vous préciser quel événement marquant ou quel texte important a été rédigé dans ce couvent lors de la Révolution corse ?",L’indépendance de la Corse
combination,,129,google:gemini-3.5-flash-lite,Quel rôle historique a joué le couvent d'Alisgiani dans la Révolution corse ?,4,1,3.0,,L’indépendance de la Corse
individual,1.074,129,google:gemini-3.5-flash-lite,Quel rôle historique a joué le couvent d'Alisgiani dans la Révolution corse ?,6,,6,Vous avez bien identifié que ce lieu est un symbole de liberté durant la Révolution corse. Pourriez-vous préciser quel texte ou événement politique majeur y a été rédigé à cette époque ?,C’est un symbole de liberté pendant la Révolution corse
combination,,129,google:gemini-3.5-flash-lite,Quel rôle historique a joué le couvent d'Alisgiani dans la Révolution corse ?,6,1,6.0,,C’est un symbole de liberté pendant la Révolution corse
