"Table","Colonne","Type","Nullable","Valeur par défaut","Clé","Extra"
"chatbot_sync_queue","created_at","datetime","NO",NULL,"MUL",
"chatbot_sync_queue","processed_at","datetime","YES",NULL,,
"chatbot_sync_queue","error_message","text","YES",NULL,,
"comment","id","int","NO",NULL,"PRI","auto_increment"
"comment","owner_id","int","YES",NULL,"MUL",
"comment","resource_id","int","YES",NULL,"MUL",
"comment","site_id","int","YES",NULL,"MUL",
"comment","parent_id","int","YES",NULL,"MUL",
"comment","path","varchar","NO",NULL,,
"comment","email","varchar","NO",NULL,,
"comment","name","varchar","NO",NULL,,
"comment","website","varchar","NO",NULL,,
"comment","ip","varchar","NO",NULL,,
"comment","user_agent","text","NO",NULL,,
"comment","body","longtext","NO",NULL,,
"comment","approved","tinyint","NO",NULL,,
"comment","flagged","tinyint","NO",NULL,,
"comment","spam","tinyint","NO",NULL,,
"comment","created","datetime","NO",NULL,,
"comment","modified","datetime","YES",NULL,,
"contact_message","id","int","NO",NULL,"PRI","auto_increment"
"contact_message","owner_id","int","YES",NULL,"MUL",
"contact_message","resource_id","int","YES",NULL,"MUL",
"contact_message","site_id","int","YES",NULL,"MUL",
"contact_message","email","varchar","NO",NULL,,
"contact_message","name","varchar","YES",NULL,,
"contact_message","subject","longtext","YES",NULL,,
"contact_message","body","longtext","NO",NULL,,
"contact_message","source","longtext","YES",NULL,,
"contact_message","media_type","varchar","YES",NULL,,
"contact_message","storage_id","varchar","YES",NULL,"UNI",
"contact_message","extension","varchar","YES",NULL,,
"contact_message","request_url","varchar","YES",NULL,,
"contact_message","ip","varchar","NO",NULL,,
"contact_message","user_agent","varchar","YES",NULL,,
"contact_message","is_read","tinyint","NO","0",,
"contact_message","is_spam","tinyint","NO","0",,
"contact_message","to_author","tinyint","NO","0",,
"contact_message","newsletter","tinyint","YES",NULL,,
"contact_message","created","datetime","NO",NULL,,
"content_lock","id","int","NO",NULL,"PRI","auto_increment"
"content_lock","user_id","int","NO",NULL,"MUL",
"content_lock","entity_id","int","NO",NULL,"MUL",
"content_lock","entity_name","varchar","NO",NULL,,
"content_lock","created","datetime","NO",NULL,,
"csvimport_entity","id","int","NO",NULL,"PRI","auto_increment"
"csvimport_entity","job_id","int","NO",NULL,"MUL",
"csvimport_entity","entity_id","int","NO",NULL,,
"csvimport_entity","resource_type","varchar","NO",NULL,,
"csvimport_import","id","int","NO",NULL,"PRI","auto_increment"
"csvimport_import","job_id","int","NO",NULL,"UNI",
"csvimport_import","undo_job_id","int","YES",NULL,"UNI",
"csvimport_import","comment","varchar","YES",NULL,,
"csvimport_import","resource_type","varchar","NO",NULL,,
"csvimport_import","has_err","tinyint","NO",NULL,,
"csvimport_import","stats","longtext","NO",NULL,,
"eadimport_entity","id","int","NO",NULL,"PRI","auto_increment"
"eadimport_entity","job_id","int","NO",NULL,"MUL",
"eadimport_entity","site_id","int","NO",NULL,"MUL",
"eadimport_entity","entity_id","int","NO",NULL,,
"eadimport_entity","resource_type","varchar","NO",NULL,,
"eadimport_import","id","int","NO",NULL,"PRI","auto_increment"
"eadimport_import","job_id","int","NO",NULL,"UNI",
"eadimport_import","site_id","int","NO",NULL,"MUL",
"eadimport_import","name","varchar","NO",NULL,,
"eadimport_import","resource_type","varchar","NO",NULL,,
"eadimport_import","mapping","longtext","NO",NULL,,
"eadimport_mapping_model","id","int","NO",NULL,"PRI","auto_increment"
"eadimport_mapping_model","name","varchar","NO",NULL,,
"eadimport_mapping_model","created","datetime","NO",NULL,,
"eadimport_mapping_model","mapping","longtext","NO",NULL,,
"fulltext_search","id","int","NO",NULL,"PRI",
"fulltext_search","resource","varchar","NO",NULL,"PRI",
"fulltext_search","owner_id","int","YES",NULL,"MUL",
"fulltext_search","is_public","tinyint","NO",NULL,,
"fulltext_search","title","longtext","YES",NULL,"MUL",
"fulltext_search","text","longtext","YES",NULL,,
"group_resource","group_id","int","NO",NULL,"PRI",
"group_resource","resource_id","int","NO",NULL,"PRI",
"group_user","group_id","int","NO",NULL,"PRI",
"group_user","user_id","int","NO",NULL,"PRI",
"groups","id","int","NO",NULL,"PRI","auto_increment"
"groups","name","varchar","NO",NULL,"UNI",
"groups","comment","longtext","YES",NULL,,
"guest_token","id","int","NO",NULL,"PRI","auto_increment"
"guest_token","user_id","int","NO",NULL,"MUL",
"guest_token","token","varchar","NO",NULL,"MUL",
"guest_token","email","varchar","NO",NULL,,
"guest_token","created","datetime","NO",NULL,,
"guest_token","confirmed","tinyint","NO",NULL,,
"item","id","int","NO",NULL,"PRI",
"item_item_set","item_id","int","NO",NULL,"PRI",
"item_item_set","item_set_id","int","NO",NULL,"PRI",
"item_set","id","int","NO",NULL,"PRI",
"item_set","is_open","tinyint","NO",NULL,,
"item_site","item_id","int","NO",NULL,"PRI",
"item_site","site_id","int","NO",NULL,"PRI",
"job","id","int","NO",NULL,"PRI","auto_increment"
"job","owner_id","int","YES",NULL,"MUL",
"job","pid","varchar","YES",NULL,,
"job","status","varchar","YES",NULL,,
"job","class","varchar","NO",NULL,,
"job","args","longtext","YES",NULL,,
"job","log","longtext","YES",NULL,,
"job","started","datetime","NO",NULL,,
"job","ended","datetime","YES",NULL,,
"log","id","int","NO",NULL,"PRI","auto_increment"
"log","owner_id","int","YES",NULL,"MUL",
"log","job_id","int","YES",NULL,"MUL",
"log","reference","varchar","NO",,"MUL",
"log","severity","int","NO","0","MUL",
"log","message","longtext","NO",NULL,,
"log","context","longtext","NO",NULL,,
"log","created","datetime","NO",NULL,,
"mapping","id","int","NO",NULL,"PRI","auto_increment"
"mapping","item_id","int","NO",NULL,"UNI",
"mapping","bounds","varchar","YES",NULL,,
"mapping_marker","id","int","NO",NULL,"PRI","auto_increment"
"mapping_marker","item_id","int","NO",NULL,"MUL",
"mapping_marker","media_id","int","YES",NULL,"MUL",
"mapping_marker","lat","double","NO",NULL,,
"mapping_marker","lng","double","NO",NULL,,
"mapping_marker","label","varchar","YES",NULL,,
"media","id","int","NO",NULL,"PRI",
"media","item_id","int","NO",NULL,"MUL",
"media","ingester","varchar","NO",NULL,,
"media","renderer","varchar","NO",NULL,,
"media","data","longtext","YES",NULL,,
"media","source","longtext","YES",NULL,,
"media","media_type","varchar","YES",NULL,,
"media","storage_id","varchar","YES",NULL,"UNI",
"media","extension","varchar","YES",NULL,,
"media","sha256","char","YES",NULL,,
"media","size","bigint","YES",NULL,,
"media","has_original","tinyint","NO",NULL,,
"media","has_thumbnails","tinyint","NO",NULL,,
"media","position","int","YES",NULL,,
"media","lang","varchar","YES",NULL,,
"media","alt_text","longtext","YES",NULL,,
"migration","version","varchar","NO",NULL,"PRI",
"module","id","varchar","NO",NULL,"PRI",
"module","is_active","tinyint","NO",NULL,,
"module","version","varchar","NO",NULL,,
"oai_pmh_repository_token","id","int","NO",NULL,"PRI","auto_increment"
"oai_pmh_repository_token","verb","varchar","NO",NULL,,
"oai_pmh_repository_token","metadata_prefix","varchar","NO",NULL,,
"oai_pmh_repository_token","cursor","int","NO",NULL,,
"oai_pmh_repository_token","from","datetime","YES",NULL,,
"oai_pmh_repository_token","until","datetime","YES",NULL,,
"oai_pmh_repository_token","set","varchar","YES",NULL,,
"oai_pmh_repository_token","expiration","datetime","NO",NULL,"MUL",
"omekaimport_import","id","int","NO",NULL,"PRI","auto_increment"
"omekaimport_import","job_id","int","NO",NULL,"UNI",
"omekaimport_import","undo_job_id","int","YES",NULL,"UNI",
"omekaimport_import","added_count","int","NO",NULL,,
"omekaimport_import","updated_count","int","NO",NULL,,
"omekaimport_import","comment","varchar","YES",NULL,,
"omekaimport_record","id","int","NO",NULL,"PRI","auto_increment"
"omekaimport_record","job_id","int","NO",NULL,"MUL",
"omekaimport_record","item_id","int","YES",NULL,"UNI",
"omekaimport_record","item_set_id","int","YES",NULL,"MUL",
"omekaimport_record","remote_type","varchar","NO",NULL,,
"omekaimport_record","remote_id","int","NO",NULL,,
"omekaimport_record","endpoint","varchar","NO",NULL,,
"password_creation","id","varchar","NO",NULL,"PRI",
"password_creation","user_id","int","NO",NULL,"UNI",
"password_creation","created","datetime","NO",NULL,,
"password_creation","activate","tinyint","NO",NULL,,
"personalnotebook_note","id","int","NO",NULL,"PRI","auto_increment"
"personalnotebook_note","owner_id","int","NO",NULL,"MUL",
"personalnotebook_note","resource_id","int","YES",NULL,"MUL",
"personalnotebook_note","content","longtext","NO",NULL,,
"personalnotebook_note","created","datetime","NO",NULL,,
"personalnotebook_note","modified","datetime","NO",NULL,,
"property","id","int","NO",NULL,"PRI","auto_increment"
"property","owner_id","int","YES",NULL,"MUL",
"property","vocabulary_id","int","NO",NULL,"MUL",
"property","local_name","varchar","NO",NULL,,
"property","label","varchar","NO",NULL,,
"property","comment","longtext","YES",NULL,,
"reference_metadata","id","int","NO",NULL,"PRI","auto_increment"
"reference_metadata","resource_id","int","NO",NULL,"MUL",
"reference_metadata","value_id","int","NO",NULL,"MUL",
"reference_metadata","field","varchar","NO",NULL,"MUL",
"reference_metadata","lang","varchar","NO",,"MUL",
"reference_metadata","is_public","tinyint","NO","1",,
"reference_metadata","text","longtext","NO",NULL,"MUL",
"resource","id","int","NO",NULL,"PRI","auto_increment"
"resource","owner_id","int","YES",NULL,"MUL",
"resource","resource_class_id","int","YES",NULL,"MUL",
"resource","resource_template_id","int","YES",NULL,"MUL",
"resource","thumbnail_id","int","YES",NULL,"MUL",
"resource","title","longtext","YES",NULL,,
"resource","is_public","tinyint","NO",NULL,,
"resource","created","datetime","NO",NULL,,
"resource","modified","datetime","YES",NULL,,
"resource","resource_type","varchar","NO",NULL,,
"resource_class","id","int","NO",NULL,"PRI","auto_increment"
"resource_class","owner_id","int","YES",NULL,"MUL",
"resource_class","vocabulary_id","int","NO",NULL,"MUL",
"resource_class","local_name","varchar","NO",NULL,,
"resource_class","label","varchar","NO",NULL,,
"resource_class","comment","longtext","YES",NULL,,
"resource_template","id","int","NO",NULL,"PRI","auto_increment"
"resource_template","owner_id","int","YES",NULL,"MUL",
"resource_template","resource_class_id","int","YES",NULL,"MUL",
"resource_template","title_property_id","int","YES",NULL,"MUL",
"resource_template","description_property_id","int","YES",NULL,"MUL",
"resource_template","label","varchar","NO",NULL,"UNI",
"resource_template_property","id","int","NO",NULL,"PRI","auto_increment"
"resource_template_property","resource_template_id","int","NO",NULL,"MUL",
"resource_template_property","property_id","int","NO",NULL,"MUL",
"resource_template_property","alternate_label","varchar","YES",NULL,,
"resource_template_property","alternate_comment","longtext","YES",NULL,,
"resource_template_property","position","int","YES",NULL,,
"resource_template_property","data_type","longtext","YES",NULL,,
"resource_template_property","is_required","tinyint","NO",NULL,,
"resource_template_property","is_private","tinyint","NO",NULL,,
"search_config","id","int","NO",NULL,"PRI","auto_increment"
"search_config","engine_id","int","NO",NULL,"MUL",
"search_config","name","varchar","NO",NULL,,
"search_config","path","varchar","NO",NULL,,
"search_config","form_adapter","varchar","NO",NULL,,
"search_config","settings","longtext","YES",NULL,,
"search_config","created","datetime","NO",NULL,,
"search_config","modified","datetime","YES",NULL,,
"search_engine","id","int","NO",NULL,"PRI","auto_increment"
"search_engine","name","varchar","NO",NULL,,
"search_engine","adapter","varchar","NO",NULL,,
"search_engine","settings","longtext","YES",NULL,,
"search_engine","created","datetime","NO",NULL,,
"search_engine","modified","datetime","YES",NULL,,
"search_suggester","id","int","NO",NULL,"PRI","auto_increment"
"search_suggester","engine_id","int","NO",NULL,"MUL",
"search_suggester","name","varchar","NO",NULL,,
"search_suggester","settings","longtext","YES",NULL,,
"search_suggester","created","datetime","NO",NULL,,
"search_suggester","modified","datetime","YES",NULL,,
"search_suggestion","id","int","NO",NULL,"PRI","auto_increment"
"search_suggestion","suggester_id","int","NO",NULL,"MUL",
"search_suggestion","text","varchar","NO",NULL,"MUL",
"search_suggestion","total_all","int","NO",NULL,,
"search_suggestion","total_public","int","NO",NULL,,
"selection","id","int","NO",NULL,"PRI","auto_increment"
"selection","owner_id","int","NO",NULL,"MUL",
"selection","is_public","tinyint","NO","0",,
"selection","is_dynamic","tinyint","NO","0",,
"selection","label","varchar","NO",NULL,,
"selection","comment","longtext","YES",NULL,,
"selection","search_query","longtext","YES",NULL,,
"selection","created","datetime","NO",NULL,,
"selection","modified","datetime","YES",NULL,,
"selection_resource","id","int","NO",NULL,"PRI","auto_increment"
"selection_resource","owner_id","int","NO",NULL,"MUL",
"selection_resource","resource_id","int","NO",NULL,"MUL",
"selection_resource","selection_id","int","YES",NULL,"MUL",
"selection_resource","created","datetime","NO",NULL,,
"setting","id","varchar","NO",NULL,"PRI",
"setting","value","longtext","NO",NULL,,
"site","id","int","NO",NULL,"PRI","auto_increment"
"site","thumbnail_id","int","YES",NULL,"MUL",
"site","homepage_id","int","YES",NULL,"UNI",
"site","owner_id","int","YES",NULL,"MUL",
"site","slug","varchar","NO",NULL,"UNI",
"site","theme","varchar","NO",NULL,,
"site","title","varchar","NO",NULL,,
"site","summary","longtext","YES",NULL,,
"site","navigation","longtext","NO",NULL,,
"site","item_pool","longtext","NO",NULL,,
"site","created","datetime","NO",NULL,,
"site","modified","datetime","YES",NULL,,
"site","is_public","tinyint","NO",NULL,,
"site","assign_new_items","tinyint","NO","0",,
"site_block_attachment","id","int","NO",NULL,"PRI","auto_increment"
"site_block_attachment","block_id","int","NO",NULL,"MUL",
"site_block_attachment","item_id","int","YES",NULL,"MUL",
"site_block_attachment","media_id","int","YES",NULL,"MUL",
"site_block_attachment","caption","longtext","NO",NULL,,
"site_block_attachment","position","int","NO",NULL,,
"site_item_set","id","int","NO",NULL,"PRI","auto_increment"
"site_item_set","site_id","int","NO",NULL,"MUL",
"site_item_set","item_set_id","int","NO",NULL,"MUL",
"site_item_set","position","int","YES",NULL,"MUL",
"site_page","id","int","NO",NULL,"PRI","auto_increment"
"site_page","site_id","int","NO",NULL,"MUL",
"site_page","slug","varchar","NO",NULL,,
"site_page","title","varchar","NO",NULL,,
"site_page","is_public","tinyint","NO",NULL,,
"site_page","created","datetime","NO",NULL,,
"site_page","modified","datetime","YES",NULL,,
"site_page_block","id","int","NO",NULL,"PRI","auto_increment"
"site_page_block","page_id","int","NO",NULL,,
"site_page_block","layout","varchar","NO",NULL,,
"site_page_block","data","longtext","NO",NULL,,
"site_page_block","position","int","NO",NULL,,
"site_page_relation","id","int","NO",NULL,"PRI","auto_increment"
"site_page_relation","page_id","int","NO",NULL,"MUL",
"site_page_relation","related_page_id","int","NO",NULL,"MUL",
"site_permission","id","int","NO",NULL,"PRI","auto_increment"
"site_permission","site_id","int","NO",NULL,"MUL",
"site_permission","user_id","int","NO",NULL,"MUL",
"site_permission","role","varchar","NO",NULL,,
"site_setting","id","varchar","NO",NULL,"PRI",
"site_setting","site_id","int","NO",NULL,"PRI",
"site_setting","value","longtext","NO",NULL,,
"solr_core","id","int","NO",NULL,"PRI","auto_increment"
"solr_core","name","varchar","NO",NULL,,
"solr_core","settings","longtext","NO",NULL,,
"solr_map","id","int","NO",NULL,"PRI","auto_increment"
"solr_map","solr_core_id","int","NO",NULL,"MUL",
"solr_map","resource_name","varchar","NO",NULL,,
"solr_map","field_name","varchar","NO",NULL,,
"solr_map","source","varchar","NO",NULL,,
"solr_map","pool","longtext","NO",NULL,,
"solr_map","settings","longtext","NO",NULL,,
"user","id","int","NO",NULL,"PRI","auto_increment"
"user","email","varchar","NO",NULL,"UNI",
"user","name","varchar","NO",NULL,,
"user","created","datetime","NO",NULL,,
"user","modified","datetime","YES",NULL,,
"user","password_hash","varchar","YES",NULL,,
"user","role","varchar","NO",NULL,,
"user","is_active","tinyint","NO",NULL,,
"user_setting","id","varchar","NO",NULL,"PRI",
"user_setting","user_id","int","NO",NULL,"PRI",
"user_setting","value","longtext","NO",NULL,,
"value","id","int","NO",NULL,"PRI","auto_increment"
"value","resource_id","int","NO",NULL,"MUL",
"value","property_id","int","NO",NULL,"MUL",
"value","value_resource_id","int","YES",NULL,"MUL",
"value","type","varchar","NO",NULL,,
"value","lang","varchar","YES",NULL,,
"value","value","longtext","YES",NULL,"MUL",
"value","uri","longtext","YES",NULL,"MUL",
"value","is_public","tinyint","NO",NULL,,
"value","value_annotation_id","int","YES",NULL,"UNI",
"value_annotation","id","int","NO",NULL,"PRI",
"vocabulary","id","int","NO",NULL,"PRI","auto_increment"
"vocabulary","owner_id","int","YES",NULL,"MUL",
"vocabulary","namespace_uri","varchar","NO",NULL,"UNI",
"vocabulary","prefix","varchar","NO",NULL,"UNI",
"vocabulary","label","varchar","NO",NULL,,
"vocabulary","comment","longtext","YES",NULL,,
"zotero_import","id","int","NO",NULL,"PRI","auto_increment"
"zotero_import","job_id","int","YES",NULL,"UNI",
"zotero_import","undo_job_id","int","YES",NULL,"UNI",
"zotero_import","name","varchar","NO",NULL,,
"zotero_import","url","varchar","NO",NULL,,
"zotero_import","version","int","NO",NULL,,
"zotero_import_item","id","int","NO",NULL,"PRI","auto_increment"
"zotero_import_item","import_id","int","NO",NULL,"MUL",
"zotero_import_item","item_id","int","NO",NULL,"MUL",
"zotero_import_item","zotero_key","varchar","NO",NULL,,
